"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\AdminPage\announcing.css", "CSS", 0, 650, 9, 70, 729
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\AdminPage\reported_ID.js", "JavaScript", 76, 0, 2, 12, 90
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\AdminPage\reported_ID_detailed.js", "JavaScript", 172, 0, 2, 19, 193
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\AdminPage\reported_booster.js", "JavaScript", 61, 0, 0, 4, 65
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\AdminPage\reported_booster_detailed.js", "JavaScript", 294, 0, 0, 19, 313
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\CreateOrderPage\CreateSellOrder.js", "JavaScript", 344, 0, 1, 33, 378
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\CreateOrderPage\booster.css", "CSS", 0, 84, 1, 18, 103
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\CreateOrderPage\booster.js", "JavaScript", 253, 0, 22, 14, 289
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\LoginRegister\signin.js", "JavaScript", 149, 0, 5, 24, 178
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\LoginRegister\signup.js", "JavaScript", 148, 0, 5, 20, 173
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\MainshopPage\MainShop.css", "CSS", 0, 85, 10, 13, 108
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\MainshopPage\MainShop.js", "JavaScript", 82, 0, 2, 12, 96
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\OwnProfilePage\UserReport.js", "JavaScript", 432, 0, 1, 45, 478
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\OwnProfilePage\ownProfile.js", "JavaScript", 252, 0, 0, 31, 283
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\OwnProfilePage\ฺBoosterReport.js", "JavaScript", 433, 0, 1, 46, 480
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\OwnProfilePage\ฺBuyerReport.js", "JavaScript", 219, 0, 0, 31, 250
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\ProfilePage\Profile.js", "JavaScript", 192, 0, 0, 30, 222
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\ViewOrderPage\BoosterDetail.js", "JavaScript", 350, 0, 8, 49, 407
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\ViewOrderPage\OrderDetail.js", "JavaScript", 224, 0, 0, 34, 258
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\index.js", "JavaScript", 22, 0, 0, 4, 26
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\slide.css", "CSS", 0, 43, 0, 8, 51
"Total", "-", 3703, 862, 69, 536, 5170
