"filename", "language", "Markdown", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\package-lock.json", "JSON", 0, 0, 0, 18051, 0, 0, 1, 18052
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\package.json", "JSON", 0, 0, 0, 49, 0, 0, 1, 50
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\public\index.html", "HTML", 0, 0, 0, 0, 23, 23, 1, 47
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\App.css", "CSS", 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\App.js", "JavaScript", 0, 49, 0, 0, 0, 0, 8, 57
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\Components\AddProductButton\AddBoost.css", "CSS", 0, 0, 32, 0, 0, 0, 3, 35
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\Components\AddProductButton\AddBoost.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\Components\AddProductButton\AddID.css", "CSS", 0, 0, 32, 0, 0, 0, 3, 35
